County;Less Than High School Diploma;At Least High School Diploma;At Least Bachelors's Degree;Graduate Degree;School Enrollment;Median Earnings 2010;White (Not Latino) Population;African American Population;Native American Population;Asian American Population;Other Race or Races;Latino Population;Children Under 6 Living in Poverty;Adults 65 and Older Living in Poverty;Total Population;Preschool.Enrollment.Ratio.enrolled.ages.3.and.4;Poverty.Rate.below.federal.poverty.threshold;Gini.Coefficient;Child.Poverty.living.in.families.below.the.poverty.line;Management.professional.and.related.occupations;Service.occupations;Sales.and.office.occupations;Farming.fishing.and.forestry.occupations;Construction.extraction.maintenance.and.repair.occupations;Production.transportation.and.material.moving.occupations;Median Age;lon;lat;Adult.obesity;Diabetes;Uninsured;Unemployment
Loup County, Nebraska;7.4;92.6;10.0;3.0;88.55;19833.82857;98.45;0.1;0.45;0.0;0.0;1.05;9.85;10.1;591;100.0;15.0;0.392;32.75;38.3;8.2;13.65;20.8;5.4;13.6;47.0;-99.5097643;41.8977143;0.30000000000000004;0.107;0.169;0.032
San Juan County, New Mexico;19.1;80.9;15.0;5.2;67.45;27900.863175;42.7;0.65;36.0;0.4;1.85;18.4;30.95;19.55;126257;33.9;19.5;0.449;25.7;25.7;16.85;23.6;0.7000000000000001;18.55;14.6;32.3;-108.3245778;36.511624499999996;0.303;0.095;0.272;0.068
Cameron County, Pennsylvania;14.8;85.2;14.9;3.9;72.75;25467.242855;97.9;0.15;0.25;0.30000000000000004;0.9;0.55;41.45;7.95;5209;43.7;11.95;0.378;21.6;28.25;13.65;19.55;0.9;10.55;27.1;46.9;-78.1983145;41.4382888;0.291;0.12;0.124;0.116
Waldo County, Maine;10.0;90.0;23.1;8.3;75.8;23484.021585;96.8;0.30000000000000004;0.30000000000000004;0.35000000000000003;1.4;0.85;23.75;12.4;38552;45.4;14.75;0.421;20.6;29.3;17.45;23.15;1.55;13.3;15.25;43.3;-69.1396775;44.5053607;0.29;0.10200000000000001;0.14;0.08600000000000001
Delaware County, Indiana;15.5;84.5;22.4;9.6;81.55;19166.48127;88.5;6.25;0.25;1.0;2.35;1.6;27.5;6.5;116609;42.3;19.9;0.449;21.35;30.1;21.05;26.45;0.25;7.15;14.9;34.7;-85.3988555;40.2271653;0.332;0.105;0.168;0.095
Neosho County, Kansas;12.9;87.1;16.2;4.6;87.25;20604.810475;89.5;1.55;0.85;0.7000000000000001;3.6;3.85;27.65;13.75;16332;48.5;16.2;0.41000000000000003;18.45;30.25;17.35;20.35;0.7000000000000001;10.5;20.9;40.0;-95.3156826;37.5642833;0.342;0.11900000000000001;0.149;0.07200000000000001
Pratt County, Kansas;10.5;89.5;22.7;9.1;82.05;24746.655555;91.75;1.35;0.30000000000000004;0.30000000000000004;1.35;5.0;12.6;8.2;9517;63.1;10.9;0.449;11.3;32.0;20.2;20.25;3.6;11.5;12.45;42.4;-98.7401199;37.6475943;0.311;0.097;0.154;0.04
Navajo County, Arizona;19.5;80.5;14.4;5.5;73.7;22214.36476;43.05;0.9500000000000001;43.2;0.45;2.1;10.25;37.25;12.85;108953;40.3;24.5;0.441;33.0;28.5;21.25;22.75;0.9500000000000001;15.15;11.45;33.8;-110.3209076;35.3909336;0.317;0.116;0.212;0.152
Levy County, Florida;19.7;80.3;12.2;3.3;75.95;21691.40508;81.45;9.4;0.30000000000000004;0.4;2.05;6.5;36.75;13.5;39678;34.7;20.35;0.441;31.25;23.15;18.3;26.25;3.8;15.95;12.65;43.9;-82.7834825;29.2844092;0.337;0.13;0.263;0.095
Wharton County, Texas;24.9;75.1;15.4;3.8;78.9;23271.9273;48.5;13.85;0.15;0.4;0.8;36.35;29.1;16.3;41099;58.1;16.95;0.46;24.55;28.05;16.3;20.9;3.0;15.45;16.25;37.4;-96.2296745;29.2784805;0.292;0.115;0.279;0.068
Thurston County, Washington;7.4;92.6;31.6;12.4;74.85;35119.40127;79.9;2.6;1.3;5.05;4.6;6.5;17.0;5.8;245756;38.8;10.15;0.40700000000000003;12.9;40.35;16.6;25.3;0.7000000000000001;8.35;8.75;38.3;-122.8294407;46.932597799999996;0.28600000000000003;0.093;0.139;0.078
Scott County, Kentucky;13.5;86.5;26.3;10.7;80.4;31739.18349;89.15;5.1;0.25;0.8;1.4;3.25;14.9;9.25;45023;44.6;12.6;0.41600000000000004;18.3;33.95;13.2;23.95;0.6000000000000001;8.25;20.15;35.0;-84.579376;38.2898823;0.326;0.10200000000000001;0.13;0.069
Gates County, North Carolina;17.4;82.6;10.5;2.5;77.45;28445.863175;62.1;34.5;0.5;0.05;1.55;1.25;40.85;18.4;11876;51.7;19.4;0.422;31.4;27.1;14.9;19.9;1.7000000000000002;16.35;20.0;42.2;-76.7023552;36.4421353;0.328;0.134;0.167;0.073
Baker County, Georgia;24.9;75.1;12.2;1.5;75.0;24392.029205;44.6;52.15;0.4;0.35000000000000003;0.45;2.1;57.55;5.75;3630;62.5;26.4;0.511;39.9;36.05;14.45;9.6;0.0;12.7;27.1;37.2;-84.454857;31.3196219;0.326;0.14400000000000002;0.194;0.08700000000000001
Tift County, Georgia;24.1;75.9;16.3;7.1;75.6;21574.61619;59.15;28.15;0.1;1.4;0.75;10.5;38.65;14.6;41025;44.1;23.8;0.449;34.55;28.05;15.55;25.5;4.7;9.4;16.8;34.3;-83.5259307;31.4570027;0.32;0.134;0.271;0.10200000000000001
Rolette County, North Dakota;17.9;82.1;16.5;6.5;54.3;24406.458095;22.15;0.30000000000000004;74.55;0.1;2.1;0.85;43.95;23.35;13804;28.7;30.15;0.47300000000000003;40.1;37.4;20.4;22.25;0.65;7.85;11.45;30.6;-99.8404634;48.7682715;0.403;0.145;0.194;0.112
Clinton County, Pennsylvania;14.4;85.6;16.7;5.6;83.05;21999.945715;95.75;1.65;0.15;0.65;0.8;1.05;18.35;7.6;38150;45.2;14.4;0.404;16.15;25.0;19.15;23.75;0.75;11.1;20.3;38.8;-77.6491409;41.2453009;0.315;0.088;0.138;0.084
Kanawha County, West Virginia;14.1;85.9;23.4;9.2;75.9;27375.54349;88.3;6.65;0.15;1.1;2.6;1.2;28.0;8.5;192343;45.6;14.15;0.46;21.9;35.15;17.45;28.2;0.1;8.8;10.2;42.3;-81.5235223;38.3280607;0.315;0.13;0.168;0.064
Pittsburg County, Oklahoma;18.2;81.8;15.1;4.9;71.75;24291.98349;73.3;3.65;11.65;0.35000000000000003;7.55;3.45;23.7;10.8;45175;40.9;16.4;0.442;22.5;25.5;21.55;24.2;1.0;12.45;15.3;41.6;-95.7481302;34.9255401;0.341;0.134;0.227;0.054
Union County, Tennessee;33.9;66.1;6.3;2.0;71.7;22894.32127;97.05;0.05;0.15;0.30000000000000004;1.2;1.15;26.45;18.85;19018;25.0;20.65;0.433;25.45;17.8;14.4;27.1;0.1;18.9;21.75;39.6;-83.8360878;36.2841401;0.34;0.11800000000000001;0.187;0.081
Henry County, Kentucky;20.0;80.0;14.1;6.0;75.55;24613.249525;92.1;2.95;0.25;0.1;1.4;3.2;31.0;11.85;15629;50.6;17.95;0.41400000000000003;25.8;23.45;16.7;20.25;3.5;13.9;22.2;40.5;-85.1200786;38.4515607;0.353;0.129;0.186;0.083
Ringgold County, Iowa;9.7;90.3;20.8;6.2;76.95;24542.551745;97.75;0.15;0.25;0.45;0.25;1.15;26.6;12.5;5096;45.4;12.5;0.403;19.95;36.8;15.75;16.5;5.95;10.5;14.45;45.1;-94.2442514;40.7353342;0.30000000000000004;0.101;0.136;0.048
Box Elder County, Utah;8.6;91.4;22.7;6.5;76.75;27160.69365;88.6;0.30000000000000004;0.65;0.9500000000000001;1.6;8.0;12.55;5.55;48936;39.3;8.55;0.352;12.0;31.65;15.15;21.3;1.25;10.7;19.95;30.2;-113.052922;41.476021;0.28300000000000003;0.082;0.14300000000000002;0.069
Richland County, Wisconsin;13.4;86.6;14.4;5.7;71.9;25160.23238;96.5;0.25;0.25;0.4;0.9;1.65;20.85;7.7;18006;32.1;11.35;0.384;18.35;23.75;17.8;20.15;4.05;10.85;23.3;42.6;-90.4356927;43.3761994;0.316;0.116;0.112;0.06
